"Variable","Type","Description"
"weight","Physical","Product weight in grams"
"length","Physical","Product length in cm"
"width","Physical","Product width in cm"
"height","Physical","Product height in cm"
"volume","Physical","Calculated volume in cmÂ³"
"material_plastic","Material","Binary: plastic material"
"material_metal","Material","Binary: metal material"
"material_wood","Material","Binary: wood material"
"material_fabric","Material","Binary: fabric material"
"material_glass","Material","Binary: glass material"
"category_electronics","Category","Binary: electronics category"
"category_furniture","Category","Binary: furniture category"
"category_kitchen","Category","Binary: kitchen category"
"category_sports","Category","Binary: sports category"
"category_toys","Category","Binary: toys category"
"category_home","Category","Binary: home goods category"
"brand_premium","Brand","Binary: premium brand tier"
"brand_midrange","Brand","Binary: mid-range brand tier"
"brand_budget","Brand","Binary: budget brand tier"
"product_age_months","Lifecycle","Months since product launch"
"is_new_release","Lifecycle","Binary: released in last 3 months"
"is_discontinued","Lifecycle","Binary: discontinued product"
"competitor_avg_price","Market","Average competitor pricing ($)"
"market_demand_index","Market","Market demand index (0-150)"
"seasonal_factor","Market","Seasonal adjustment factor"
"warranty_months","Quality","Warranty period in months"
"customer_rating","Quality","Average customer rating (1-5)"
"num_reviews","Quality","Number of customer reviews"
"return_rate","Quality","Product return rate (0-1)"
"free_shipping","Logistics","Binary: free shipping eligible"
"shipping_weight_kg","Logistics","Shipping weight in kg"
"fulfillment_days","Logistics","Fulfillment time in days"
"stock_quantity","Inventory","Current stock quantity"
"restock_frequency_days","Inventory","Restock frequency in days"
"featured_product","Marketing","Binary: featured on homepage"
"sale_active","Marketing","Binary: currently on sale"
"discount_percentage","Marketing","Discount percentage (0-1)"
"num_components","Complexity","Number of product components"
"assembly_required","Complexity","Binary: requires assembly"
"num_accessories","Complexity","Number of included accessories"
"noise_1","Noise","Random noise variable 1"
"noise_2","Noise","Random noise variable 2"
"noise_3","Noise","Random noise variable 3"
"noise_4","Noise","Random noise variable 4"
"noise_5","Noise","Random noise variable 5"
"price","Target","Product price in dollars (TARGET)"
